date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:06:50	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Nov%202025%2003:06:51%20GMT	https://google.com/chrome	C:/Users/win11/Documents/google%20clone/google.com/chrome.0.delayed	(from )
04:06:50	227/227	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Nov%202025%2003:06:52%20GMT	https://www.google.com/chrome	C:/Users/win11/Documents/google%20clone/www.google.com/chrome.1.delayed	(from )
04:06:51	1858/1858	U-----	200	untouched ('OK')	text/plain	date:Fri,%2005%20Sep%202025%2009:30:00%20GMT	https://www.google.com/robots.txt		(from )
04:06:51	420843/420843	U-----	200	untouched ('OK')	text/html	date:Thu,%2006%20Nov%202025%2010:00:00%20GMT	https://www.google.com/chrome/	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/index.html	(from )
04:06:52	218158/218158	U-----	200	untouched ('OK')	text/html	date:Thu,%2006%20Nov%202025%2010:00:00%20GMT	https://www.google.com/chrome/fallback/	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/fallback/index.html	(from https://www.google.com/chrome/)
04:06:52	4048/4048	U-----	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/favicon-96x96.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/favicon-96x96.png	(from https://www.google.com/chrome/)
04:06:52	1659/1659	U-----	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/favicon-32x32.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/favicon-32x32.png	(from https://www.google.com/chrome/)
04:06:52	695/695	U-----	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/favicon-16x16.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/favicon-16x16.png	(from https://www.google.com/chrome/)
04:06:53	152877/152877	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Nov%202025%2003:06:54%20GMT	https://www.google.com/chrome/string,%20document.baseURI	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/string,%20document.12.delayed	(from https://www.google.com/chrome/)
04:07:28	10569/10569	U-----	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2013:30:00%20GMT	https://www.google.com/chrome/static/images/favicons/android-icon-192x192.png	C:/Users/win11/Documents/google%20clone/www.google.com/chrome/static/images/favicons/android-icon-192x192.png	(from https://www.google.com/chrome/)
